<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.02.07	1.44787	1.45778	1.43507	1.45191	966674	985206012000	11
2016.02.14	1.44888	1.45349	1.42348	1.43460	822780	823416676000	11
2016.02.21	1.42607	1.43059	1.38534	1.38609	898880	915661737000	11
2016.02.28	1.38557	1.42479	1.38351	1.42171	882853	888989083000	4
2016.03.06	1.42148	1.44361	1.41173	1.43868	712398	660923801000	11
2016.03.13	1.43730	1.45139	1.40526	1.44740	681821	662254069000	11
2016.03.20	1.44595	1.44673	1.40567	1.41380	519192	490998034000	11
2016.03.27	1.41300	1.44586	1.41197	1.42112	684445	737874960000	11
2016.04.03	1.42182	1.43211	1.40047	1.41190	739171	813347847000	11
2016.04.10	1.41137	1.43477	1.40899	1.42065	712268	819152450000	11
2016.04.17	1.41890	1.44512	1.41306	1.44088	705397	683016045000	11
2016.04.24	1.44579	1.46706	1.44023	1.46009	766650	780570514000	4
2016.05.01	1.45863	1.47691	1.44144	1.44180	762499	834221457000	11
2016.05.08	1.44121	1.45304	1.43398	1.43660	660080	737552625000	11
2016.05.15	1.43468	1.46631	1.43318	1.45070	695340	812405967000	11
2016.05.22	1.44975	1.47391	1.44417	1.46088	691941	796021103000	11
2016.05.29	1.46060	1.47241	1.43855	1.45123	716678	815890812000	11
2016.06.05	1.44670	1.46593	1.41793	1.42624	716224	817882054000	11
2016.06.12	1.42556	1.43872	1.40122	1.43407	809745	869405316000	11
2016.06.19	1.44657	1.50171	1.32290	1.36906	944618	1028305106000	11
2016.06.26	1.34226	1.35329	1.31197	1.32598	798706	871812661000	11
2016.07.03	1.32403	1.33402	1.27950	1.29498	718263	765219538000	11
2016.07.10	1.29448	1.34801	1.28499	1.32083	838598	868153512000	11
2016.07.17	1.31857	1.33144	1.30641	1.30911	718192	818654793000	11
2016.07.24	1.31413	1.33011	1.30564	1.32350	569808	534206772000	11
2016.07.31	1.32190	1.33712	1.30206	1.30797	571621	451925205000	11
2016.08.07	1.30711	1.30960	1.29076	1.29146	500858	507944416000	11
2016.08.14	1.29195	1.31843	1.28650	1.30755	546908	525642042000	11
2016.08.21	1.30478	1.32786	1.30338	1.31228	525197	494436618000	11
2016.08.28	1.31183	1.33518	1.30586	1.32931	554572	478749461000	11
2016.09.04	1.32921	1.34445	1.32386	1.32689	543038	443290064000	11
2016.09.11	1.32610	1.33465	1.30020	1.30025	625136	543007720000	11
