<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.25	1.24829	1.25177	1.24363	1.24530	74532	0	3
2019.07.26	1.24536	1.24594	1.23759	1.23862	57266	0	3
2019.07.29	1.23744	1.23828	1.22121	1.22166	52073	0	3
2019.07.30	1.22168	1.22256	1.21190	1.21509	73529	0	3
2019.07.31	1.21511	1.22494	1.21334	1.21594	85051	0	2
2019.08.01	1.21563	1.21709	1.20792	1.21313	93462	0	3
2019.08.02	1.21313	1.21690	1.20896	1.21609	99605	0	3
2019.08.05	1.21162	1.21880	1.21014	1.21424	96295	0	3
2019.08.06	1.21409	1.22094	1.21352	1.21666	100439	0	3
2019.08.07	1.21665	1.21909	1.21207	1.21425	103395	0	3
2019.08.08	1.21400	1.21823	1.20949	1.21338	82901	0	3
2019.08.09	1.21301	1.21477	1.20477	1.20517	67385	0	3
2019.08.12	1.20398	1.21060	1.20148	1.20748	92111	0	3
2019.08.13	1.20749	1.20972	1.20416	1.20592	100831	0	3
2019.08.14	1.20591	1.21007	1.20443	1.20542	104029	0	3
2019.08.15	1.20544	1.21503	1.20505	1.20811	103277	0	3
2019.08.16	1.20864	1.21751	1.20761	1.21505	84169	0	3
2019.08.19	1.21467	1.21720	1.21041	1.21244	66623	0	3
2019.08.20	1.21246	1.21798	1.20640	1.21679	91649	0	3
2019.08.21	1.21681	1.21748	1.21118	1.21229	80625	0	3
2019.08.22	1.21282	1.22726	1.21082	1.22493	99158	0	3
2019.08.23	1.22493	1.22873	1.21939	1.22862	98761	0	3
2019.08.26	1.22675	1.22852	1.22075	1.22171	146283	0	3
2019.08.27	1.22167	1.23093	1.22084	1.22882	102936	0	2
2019.08.28	1.22886	1.22905	1.21555	1.22138	99107	0	2
2019.08.29	1.22117	1.22320	1.21718	1.21799	103683	0	2
2019.08.30	1.21799	1.22258	1.21391	1.21499	87016	0	2
2019.09.02	1.21395	1.21744	1.20355	1.20667	90240	0	2
2019.09.03	1.20667	1.21052	1.19579	1.20825	124163	0	2
2019.09.04	1.20825	1.22570	1.20578	1.22520	124935	0	2
2019.09.05	1.22510	1.23533	1.22099	1.23362	121983	0	2
2019.09.06	1.23296	1.23433	1.22788	1.22934	87216	0	2
2019.09.09	1.22710	1.23840	1.22330	1.23437	114272	0	2
2019.09.10	1.23440	1.23795	1.23066	1.23521	70143	0	2
2019.09.11	1.23520	1.23706	1.23124	1.23278	71318	0	2
2019.09.12	1.23278	1.23662	1.22828	1.23329	82260	0	2
2019.09.13	1.23326	1.24801	1.23267	1.24748	64024	0	2
2019.09.16	1.24967	1.25036	1.23990	1.24252	72028	0	2
2019.09.17	1.24253	1.25267	1.23918	1.24980	58740	0	2
2019.09.18	1.24982	1.25115	1.24383	1.24692	59822	0	2
2019.09.19	1.24692	1.25599	1.24375	1.25222	70104	0	2
2019.09.20	1.25220	1.25813	1.24590	1.24753	63885	0	2
2019.09.23	1.24644	1.24903	1.24124	1.24293	61008	0	2
2019.09.24	1.24294	1.25026	1.24136	1.24922	59000	0	2
2019.09.25	1.24922	1.24980	1.23474	1.23503	70017	0	2
2019.09.26	1.23504	1.23800	1.23029	1.23206	62865	0	2
2019.09.27	1.23205	1.23360	1.22702	1.22907	56480	0	2
2019.09.30	1.22784	1.23459	1.22752	1.22865	56869	0	2
2019.10.01	1.22865	1.23387	1.22043	1.23025	72554	0	2
2019.10.02	1.23035	1.23239	1.22264	1.22983	58986	0	2
2019.10.03	1.22996	1.24129	1.22654	1.23299	78813	0	2
2019.10.04	1.23264	1.23567	1.22759	1.23268	50259	0	2
2019.10.07	1.23012	1.23361	1.22868	1.22895	54737	0	2
2019.10.08	1.22899	1.23021	1.21950	1.22161	69792	0	2
2019.10.09	1.22163	1.22909	1.21974	1.22039	60646	0	2
2019.10.10	1.22040	1.24688	1.22022	1.24346	74713	0	2
2019.10.11	1.24346	1.27071	1.24079	1.26523	85600	0	2
2019.10.14	1.26210	1.26495	1.25158	1.26064	72155	0	2
2019.10.15	1.26063	1.27989	1.25984	1.27840	89626	0	1
2019.10.16	1.27800	1.28775	1.26566	1.28291	98171	0	1
2019.10.17	1.28286	1.29889	1.27490	1.28892	99995	0	1
2019.10.18	1.28892	1.29638	1.28391	1.29426	68957	0	1
2019.10.21	1.29477	1.30120	1.28744	1.29577	81851	0	1
2019.10.22	1.29581	1.30006	1.28618	1.28693	86614	0	1
2019.10.23	1.28692	1.29214	1.28410	1.29108	77540	0	1
2019.10.24	1.29085	1.29494	1.27881	1.28487	75128	0	1
2019.10.25	1.28487	1.28629	1.28039	1.28268	52618	0	1
